,C0,mu,eta,e,B,m_init,mean_m,mean_nb,mean_nu,mean_C,mean_nv,e_effective,pv_type,theta,gen_max,bac_extinct,phage_extinct,timestamp,end_time,folder_date,f,pv
5828,10000.0,1e-06,0.001,0.95,170.0,1.0,9.0,1573.8125,0.4947388470172882,6481.875,223822.8125,0.1171963289380073,binary,0.0,10000.0,0,0,2020-10-01T19:45:20.017721,10000.0,2019-05-14,0.3,0.02
5829,10000.0,1e-06,0.001,0.95,170.0,1.0,10.5,1597.625,0.47498619556427,6526.625,214726.3125,0.1008351445198059,binary,0.0,10000.0,0,0,2020-10-01T19:45:20.015826,10000.0,2019-05-14,0.3,0.02
5830,10000.0,1e-06,0.001,0.95,170.0,1.0,10.4375,1559.8125,0.4690368473529816,6518.6875,224508.25,0.0936048105359077,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.971581,10000.0,2019-05-14,0.3,0.02
5831,10000.0,1e-06,0.001,0.95,170.0,1.0,9.333333015441896,1615.7332763671875,0.4902709722518921,6580.8662109375,216224.46875,0.1129798963665962,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.970981,10000.0,2019-05-14,0.3,0.02
5832,1000.0,3.162277660168379e-07,1e-05,0.5,170.0,10.0,0.843137264251709,272.1568603515625,0.589934229850769,530.37255859375,18949.685546875,0.4775678813457489,binary,0.0,10000.0,0,0,2020-10-02T22:11:49.577168,10000.0,2019-05-14,0.3,0.02
5833,1000.0,3.162277660168379e-07,1e-05,0.5,170.0,10.0,0.9215686321258544,286.9803771972656,0.6605852842330933,514.2940673828125,19257.8828125,0.4889749586582184,binary,0.0,10000.0,0,0,2020-10-01T19:45:22.277216,10000.0,2019-05-14,0.3,0.02
5834,1000.0,3.162277660168379e-07,1e-05,0.5,170.0,10.0,0.960784375667572,289.7254943847656,0.6902682185173035,516.803955078125,18826.275390625,0.4988009929656982,binary,0.0,10000.0,0,0,2020-10-01T19:45:22.294661,10000.0,2019-05-14,0.3,0.02
5835,1000.0,3.162277660168379e-07,1e-05,0.5,170.0,10.0,0.941176414489746,298.9803771972656,0.681911051273346,507.76470947265625,18144.626953125,0.4802541434764862,binary,0.0,10000.0,0,0,2020-10-01T19:45:22.261213,10000.0,2019-05-14,0.3,0.02
5836,1000.0,3.162277660168379e-07,1e-05,0.5,170.0,10.0,1.0,301.5686340332031,0.7183828949928284,499.37255859375,18231.353515625,0.4999944269657135,binary,0.0,10000.0,0,0,2020-10-01T19:45:22.295369,10000.0,2019-05-14,0.3,0.02
5837,3000.0,3.162277660168379e-07,0.0001,0.5,170.0,1.0,1.75,638.5,0.5788781642913818,1775.0,62257.25,0.2865301668643951,binary,0.0,10000.0,0,0,2020-10-01T19:45:22.257329,10000.0,2019-05-14,0.3,0.02
5838,3000.0,3.162277660168379e-07,0.0001,0.5,170.0,1.0,1.875,662.0,0.5581437945365906,1770.5625,60763.3125,0.2735310792922973,binary,0.0,10000.0,0,0,2020-10-02T22:23:07.247224,10000.0,2019-05-14,0.3,0.02
5839,3000.0,3.162277660168379e-07,0.0001,0.5,170.0,1.0,2.0,598.125,0.5090794563293457,1831.3125,64409.6875,0.2579098343849182,binary,0.0,10000.0,0,0,2020-10-02T22:28:05.436264,10000.0,2019-05-14,0.3,0.02
5840,3000.0,3.162277660168379e-07,0.0001,0.5,170.0,1.0,2.0,612.2000122070312,0.5137566328048706,1794.733154296875,64393.0,0.2935798466205597,binary,0.0,10000.0,0,0,2020-10-02T22:41:46.244336,10000.0,2019-05-14,0.3,0.02
5841,3000.0,3.162277660168379e-07,0.0001,0.5,170.0,1.0,1.8125,625.0625,0.5598466992378235,1803.5,61628.5625,0.2692477405071258,binary,0.0,10000.0,0,0,2020-10-02T22:46:11.538206,10000.0,2019-05-14,0.3,0.02
5842,10000.0,3.162277660168379e-07,0.001,0.8,170.0,10.0,8.70588207244873,1577.0,0.4716182351112366,6512.13720703125,223872.953125,0.0978564247488975,binary,0.0,10000.0,0,0,2020-10-02T22:47:55.150002,10000.0,2019-05-14,0.3,0.02
5843,10000.0,3.162277660168379e-07,0.001,0.8,170.0,10.0,9.039999961853027,1616.47998046875,0.4653540849685669,6506.73974609375,221031.421875,0.0963067784905433,binary,0.0,10000.0,0,0,2020-10-02T22:54:36.888944,10000.0,2019-05-14,0.3,0.02
5844,10000.0,3.162277660168379e-07,0.001,0.8,170.0,10.0,9.058822631835938,1585.0,0.4597443640232086,6556.62744140625,219747.609375,0.0969598367810249,binary,0.0,10000.0,0,0,2020-10-02T22:56:08.284092,10000.0,2019-05-14,0.3,0.02
